code,x,y,z,cluster
CWES2484,-0.6121111,-0.80131817,2.8295264,28
E32272,-1.0816627,-5.625636,-0.19091988,33
S31529,-1.9076014,1.1335707,2.9797544,39
S32394,-4.8307056,-0.88415575,-1.8670092,9
E32339,-0.06305218,-2.752892,1.9961672,31
E32339,-0.0930357,-2.7889695,2.0103188,31
S32036,-0.26864433,-3.5460215,2.454155,30
CWES2694,-0.61902046,-0.81525993,2.769566,28
S31487,-0.9478445,4.1301737,-0.44735193,20
S31855,-1.9768581,-3.2853613,-1.0300603,15
CWES1087,-0.64710665,-0.8696518,2.678063,28
SS32982,0.14807844,3.634654,0.24043941,20
S31558,0.9620986,1.0796604,-2.4902081,61
S32141,1.6060958,1.3019357,-0.7751808,42
S32750,-4.0053234,0.21292591,0.02412033,26
SS33119,-3.9721184,0.067555904,0.003211021,26
S31330,-0.43951726,-3.5162811,2.6974897,30
SS32823,7.163656,3.304891,-5.15168,0
S31329,8.760897,2.3443413,-6.234564,0
S32421,8.552288,2.1643534,-6.034645,0
S32070,-0.38317394,-3.4437046,2.0550766,30
CWES1737,-0.6497364,-0.8748536,2.685092,28
T3200,0.4548807,0.3227358,0.77573586,13
S32229,-1.6975212,-6.1122704,0.5993357,14
